,Country,2019,2020,2021,2022,2023,2024
0,Africa,,,,,,
1,North Africa,,,,,,
2,Algeria,10303.60057521065,9708.277440227255,9112.461105348943,9145.810174207281,18263.96796826213,21811.24255503127
3,Libya,...,...,...,1214.8645582452625,1573.6827773146888,...
4,Morocco,3721.32383745287,4830.956393511692,5378.3665352074695,4995.028073835146,5184.9283995423875,5517.9243992338525
5,Tunisia,1000.922131147541,1157.3723670117815,1250.4543802253725,1156.1869156935402,1208.2041897299423,1313.6832631545112
6,sub-Saharan Africa,,,,,,
7,Angola,1470.9387172875404,993.5944046258786,981.4510118717992,1622.7637319509674,1247.8463450851725,922.0508138869424
8,Benin,68.11239030783777,71.81781847880863,97.42448880988522,110.01037031732224,149.0352880047432,154.1077197327867
9,Botswana,514.7209302325581,499.02747951960544,536.6304009054821,512.7276890548216,485.56787004692586,567.8226514486391
10,Burkina Faso,357.9215575177743,382.4646773604908,458.2790984448859,562.583349170273,827.153018861823,1023.6722201425774
11,Burundi,84.68941391820168,67.47409271629704,68.37639713578308,101.434221215165,145.16802165114814,171.82978457825809
12,Cameroon,422.2947719802443,393.29939006377396,443.33683200567674,416.6380216402023,456.5690918880268,534.85200533635
13,Cape Verde,9.728061089786552,11.279268103581954,11.213723429355868,10.250668273218631,14.353938320532245,16.827224925443414
14,Central African Republic,40.7776666587025,44.34809807635498,55.515012096934115,42.00180265646586,62.52702181344471,71.1749699459274
15,Chad,234.7096549582052,322.86652649138955,330.9980781919861,331.74676604946757,372.75185572335937,557.7112401406976
16,"Congo, DR",352.7095655968196,362.0916155392711,306.0787825606135,371.08159985082017,794.2445980722746,899.1877784038358
17,"Congo, Republic",299.95323896934593,298.38219194745164,313.0558314869467,265.8479727296654,284.99442966404865,182.04440252173868
18,Cote d'Ivoire,535.9513821809754,607.1558899681999,637.6569128174989,607.2456995565701,682.1771113492144,658.3532182181273
19,Djibouti,...,...,...,...,...,...
20,Equatorial Guinea,148.6369330225033,162.37336438041947,162.8071326712182,156.79163491983198,162.192394152675,113.13523755497545
21,Eritrea,...,...,...,...,...,...
22,Ethiopia,535.9780182036751,754.4741287976404,1595.5437290148695,1785.6038283919195,1409.020101008437,921.6652638646304
23,Gabon,266.8791961198584,263.471597129303,311.4549286354286,277.6747689905686,265.3858026318787,319.0959207265087
24,"Gambia, The",14.456446201773305,14.805015929753672,15.874259866824561,15.446282227631354,13.950935482351193,14.433677704271274
25,Ghana,233.32013703844692,239.8871642832229,298.34543305757217,229.27886620907788,285.3759346916375,268.7367054338518
26,Guinea,197.75433070763407,206.99289078606407,244.55859041580294,441.26016972619306,504.6671802862754,562.4559504996824
27,Guinea-Bissau,22.571242307469138,24.165899178063146,25.67374032562508,24.538678142199377,25.292392170568288,...
28,Kenya,1116.8724199131227,1115.3217703236953,1191.0351991616183,1155.1795230193984,1053.7955722424294,1231.306436546417
29,Lesotho,44.84596746278989,38.618836531454946,37.044054950260545,34.66849989755181,34.446236515400514,36.29597699581493
30,Liberia,12.901,12.901,29.723,52.198,62.518,33.825
31,Madagascar,76.576631109179,87.3577520692398,99.1859200335487,98.14916922293187,101.86616111700121,121.63424673229977
32,Malawi,85.18193495483126,98.86399076217438,92.57043855257574,117.5469567316744,149.58233654066035,117.58999454490588
33,Mali,475.63818567201065,593.8658835386727,652.8833532865035,582.0175525434124,785.2650084672229,929.2785208614016
34,Mauritania,162.3979549764987,198.53003721424776,230.93549287908405,225.35213553643985,277.1614963252498,260.0590172692291
35,Mauritius,22.131218959658447,18.47839938830126,20.231427796007996,17.8845959703586,19.936715863076138,23.009853325713888
